row_1,row_2,row_3
1.3646679529521495e-05,1.341746652190958e-05,1.2004202978439843e-05
1.3644212998011317e-05,1.3416694760942174e-05,1.200741821922107e-05
1.364879640635762e-05,1.3408558944569542e-05,1.2011013462839419e-05
1.3650366191846253e-05,1.3410747240559172e-05,1.2007270052253575e-05
1.3649139746310966e-05,1.3413659328189896e-05,1.2005572948050331e-05
1.3646904489388643e-05,1.3414695704946305e-05,1.2006750937964634e-05
1.3647689085995765e-05,1.3412181798066692e-05,1.2008487580915695e-05
1.3646880146169267e-05,1.3409800002206346e-05,1.2011670756417248e-05
1.3649768923275257e-05,1.3411428799094664e-05,1.2007180180339817e-05
1.3645968053159698e-05,1.3414700870914044e-05,1.2007673456485383e-05
1.3648584729320323e-05,1.3412576031183022e-05,1.2007206074973167e-05
1.3646091170689123e-05,1.3412402392574735e-05,1.2009849967926382e-05
1.365039838618646e-05,1.341110219415804e-05,1.2006883205196181e-05
1.3647352913733684e-05,1.3413135805650308e-05,1.200786660379732e-05
1.364497050619145e-05,1.3414461055054673e-05,1.2008901496444139e-05
1.3648019412721717e-05,1.3416020051265813e-05,1.2004322088156285e-05
1.364715576787764e-05,1.3412882837599811e-05,1.2008314875219224e-05
1.3646361360762137e-05,1.3415187606882277e-05,1.2006797088686694e-05
1.3646972397092251e-05,1.3412280770881518e-05,1.200909859897725e-05
1.3649367211899495e-05,1.3412374447859495e-05,1.2006632488638825e-05
1.3650065180829102e-05,1.3414934891886724e-05,1.2003380598756097e-05
1.364766723987253e-05,1.3414471131883158e-05,1.2006219889053092e-05
1.3642795897512103e-05,1.3412186854089403e-05,1.2013329982643158e-05
1.3646341990965858e-05,1.3414116645863113e-05,1.2007887238476006e-05
1.3648389072408601e-05,1.341626143608656e-05,1.2003714498412087e-05
1.3647986322094233e-05,1.3410291006104363e-05,1.201008391468702e-05
1.3645134736406637e-05,1.3415572892738651e-05,1.2007626963406798e-05
1.3646902459255872e-05,1.3413371425240216e-05,1.2008077228830292e-05
1.364856138863045e-05,1.3413097424312999e-05,1.200670780439578e-05
1.3648734230804232e-05,1.3412059606998556e-05,1.2007574394883857e-05
1.3645682589529556e-05,1.3413770188971553e-05,1.2008886934173623e-05
1.3651254490617008e-05,1.3410198623817562e-05,1.2006938672082101e-05
1.3644950565821977e-05,1.341129928311091e-05,1.2012083022398782e-05
1.3646361364813928e-05,1.3413424419295692e-05,1.200856027225936e-05
1.3650012822155868e-05,1.340806631850087e-05,1.201030104148179e-05
1.3647298659855629e-05,1.3413494751324255e-05,1.2007561404955837e-05
1.3648850878393355e-05,1.3411528390553104e-05,1.200799005390457e-05
